ts,product_id,open,high,low,close,volume
1784674800,BTC-USD,66266,66537.38,66187.68,66516.18,169.04251856
1784674800,ETH-USD,1919.55,1930.5,1915.59,1929,2515.57283643
1784671200,SOL-USD,77.98,78.03,77.81,77.95,14651.75445336
1784671200,XRP-USD,1.1461,1.1463,1.1389,1.1413,3620950.958827
1784674800,DOGE-USD,0.07305,0.07335,0.07296,0.07335,2021786.5
1784671200,ADA-USD,0.1726,0.173,0.1723,0.173,490565.6000452
1784671200,AVAX-USD,6.55,6.57,6.54,6.55,6978.44067683
1784674800,LINK-USD,8.62,8.655,8.607,8.652,38210.38
1784671200,DOT-USD,0.849,0.851,0.845,0.847,43974.11736679
1784674800,LTC-USD,46.85,46.86,46.65,46.83,4780.2294223
1784674800,BCH-USD,223.63,224,223.38,223.78,61.08141152
1784674800,NEAR-USD,1.935,1.937,1.929,1.935,35406.597
1784674800,ATOM-USD,1.482,1.494,1.477,1.486,31274.19
1784674800,UNI-USD,3.715,3.737,3.709,3.717,56528.293012
1784671200,APT-USD,0.6129,0.6129,0.6082,0.6083,36866.734
1784671200,ARB-USD,0.0889,0.0889,0.0884,0.0885,60170.53
1784671200,OP-USD,0.098,0.098,0.097,0.097,8732.97
1784674800,SUI-USD,0.7675,0.7717,0.7658,0.7715,80131
1784674800,INJ-USD,5.326,5.328,5.302,5.303,5816.73
1784674800,AAVE-USD,95.72,95.72,95.23,95.53,307.058
1784671200,ENA-USD,0.0865,0.0868,0.0863,0.0867,248731.7
1784671200,HBAR-USD,0.0698,0.06984,0.06937,0.06939,1510419.8
1784674800,ONDO-USD,0.39735,0.40152,0.39635,0.40142,1147505.37
1784671200,PAXG-USD,4071.42,4075.73,4068.44,4071.43,6.22859
1784671200,PEPE-USD,2.87e-06,2.88e-06,2.87e-06,2.87e-06,3930166767
1784671200,SHIB-USD,4.27e-06,4.28e-06,4.26e-06,4.26e-06,1119602070
1784674800,XLM-USD,0.191532,0.192023,0.190608,0.19202,3018443.36054535
1784674800,ZEC-USD,533.76,533.76,530.64,532.43,1381.91017335
1784685600,BTC-USD,66390.21,66497.35,66252.18,66268.01,109.48797487
1784685600,ETH-USD,1932.38,1935.24,1925.48,1929.02,1914.87043019
1784685600,SOL-USD,78.3,78.47,78.04,78.08,10268.22857948
1784685600,XRP-USD,1.1437,1.1456,1.1402,1.1408,1746661.776728
1784685600,DOGE-USD,0.07358,0.0737,0.07337,0.07337,1049472.5
1784685600,ADA-USD,0.174,0.1753,0.1736,0.1742,1302086.72472203
1784685600,AVAX-USD,6.58,6.61,6.57,6.59,10709.55131764
1784685600,LINK-USD,8.704,8.718,8.68,8.687,47599.56
1784685600,DOT-USD,0.853,0.855,0.851,0.853,155276.52914679
1784685600,LTC-USD,46.8,46.87,46.53,46.6,7078.59807661
1784685600,BCH-USD,224.49,225.41,224.45,225.15,176.05189874
1784685600,NEAR-USD,1.943,1.948,1.929,1.93,90797.32
1784685600,ATOM-USD,1.488,1.492,1.484,1.484,6998.34
1784685600,UNI-USD,3.7,3.726,3.672,3.676,45212.641433
1784685600,APT-USD,0.6105,0.611,0.609,0.6094,12878.193
1784685600,ARB-USD,0.09,0.0902,0.0895,0.0897,59990.86
1784685600,OP-USD,0.098,0.099,0.098,0.098,38401.81
1784685600,SUI-USD,0.7687,0.7735,0.7673,0.7686,167770.3
1784685600,INJ-USD,5.353,5.386,5.332,5.386,2077.04
1784685600,AAVE-USD,96.72,97.36,96.67,96.94,592.729
1784685600,ENA-USD,0.0874,0.0878,0.0871,0.0874,571406.9
1784685600,HBAR-USD,0.06998,0.07074,0.06997,0.07033,3292083.8
1784685600,ONDO-USD,0.4001,0.402,0.39908,0.40047,636268.44
1784685600,PAXG-USD,4111.43,4119.08,4109.37,4119.08,35.74153
1784685600,PEPE-USD,2.87e-06,2.89e-06,2.86e-06,2.87e-06,66878325203
1784685600,SHIB-USD,4.27e-06,4.27e-06,4.24e-06,4.25e-06,794927565
1784685600,XLM-USD,0.193141,0.193192,0.19224,0.19224,1079224.72492888
1784685600,ZEC-USD,530.81,533.05,529.12,530.31,1023.32708776
1784696400,BTC-USD,66336,66336.01,65893.45,65937.32,213.67961975
1784696400,ETH-USD,1935.49,1935.78,1916.9,1918.08,2629.57391188
1784696400,SOL-USD,78.02,78.03,77.36,77.38,23719.86541323
1784696400,XRP-USD,1.1412,1.1416,1.1324,1.1328,1483810.947222
1784696400,DOGE-USD,0.07338,0.07338,0.07239,0.07243,8542046.8
1784696400,ADA-USD,0.1741,0.1742,0.1712,0.1714,1804616.21836709
1784696400,AVAX-USD,6.55,6.56,6.48,6.49,17023.63869319
1784696400,LINK-USD,8.723,8.723,8.626,8.626,49456.36
1784696400,DOT-USD,0.853,0.853,0.841,0.843,83387.34344814
1784696400,LTC-USD,46.64,46.64,46.32,46.39,4880.85972666
1784696400,BCH-USD,224.26,224.26,221.58,221.75,381.18819295
1784696400,NEAR-USD,1.922,1.922,1.905,1.907,136638.853
1784696400,ATOM-USD,1.478,1.48,1.469,1.471,13526.83
1784696400,UNI-USD,3.702,3.71,3.674,3.686,18573.886461
1784696400,APT-USD,0.6093,0.6098,0.6039,0.6039,15469.101
1784696400,ARB-USD,0.091,0.0916,0.0899,0.0907,832760.74
1784692800,OP-USD,0.097,0.098,0.097,0.097,61656.49
1784696400,SUI-USD,0.7654,0.7655,0.7585,0.7598,377974.3
1784696400,INJ-USD,5.367,5.369,5.299,5.305,1614.46
1784696400,AAVE-USD,97,98.15,95.33,96.08,3285.939
1784696400,ENA-USD,0.0873,0.0873,0.0862,0.0868,513065.1
1784696400,HBAR-USD,0.07004,0.0701,0.0695,0.06974,546895
1784696400,ONDO-USD,0.40008,0.40087,0.3975,0.39795,569429.22
1784696400,PAXG-USD,4115.49,4121.9,4112.31,4121.9,14.78474
1784696400,PEPE-USD,2.88e-06,2.88e-06,2.84e-06,2.84e-06,2841789260
1784696400,SHIB-USD,4.25e-06,4.25e-06,4.22e-06,4.23e-06,599329524
1784696400,XLM-USD,0.191619,0.191619,0.188635,0.1892,5048496.28017315
1784696400,ZEC-USD,523.23,523.28,517.27,517.86,1732.11745633
