ts,product_id,open,high,low,close,volume
1784934000,BTC-USD,64100.52,64120.5,64075.26,64083.32,88.04169919
1784934000,ETH-USD,1857.67,1861.05,1857.2,1859.77,980.32496792
1784934000,SOL-USD,73.87,73.97,73.78,73.9,10571.79886489
1784934000,XRP-USD,1.0908,1.0925,1.09,1.091,774162.706814
1784934000,DOGE-USD,0.06946,0.06958,0.0693,0.06953,5047755.8
1784934000,ADA-USD,0.1638,0.1642,0.1636,0.1638,472841.71627232
1784934000,AVAX-USD,6.27,6.31,6.27,6.3,8095.68338481
1784934000,LINK-USD,8.325,8.336,8.321,8.334,14558.42
1784934000,DOT-USD,0.807,0.809,0.807,0.808,30865.98158439
1784934000,LTC-USD,46.24,46.36,46.16,46.34,5308.92524198
1784934000,BCH-USD,209.96,210.89,209.92,210.8,100.6070563
1784934000,NEAR-USD,1.81,1.812,1.804,1.805,15382.462
1784934000,ATOM-USD,1.39,1.395,1.389,1.392,12299.03
1784934000,UNI-USD,3.769,3.784,3.761,3.782,13449.107499
1784934000,APT-USD,0.6004,0.6022,0.6,0.6,6388.881
1784934000,ARB-USD,0.0831,0.0832,0.0829,0.0829,6251.09
1784930400,OP-USD,0.092,0.092,0.092,0.092,20011.29
1784934000,SUI-USD,0.7114,0.7122,0.7087,0.7102,147975.4
1784934000,INJ-USD,5.18,5.184,5.163,5.171,2890.1
1784934000,AAVE-USD,93,93.18,92.89,93.03,147.561
1784934000,ENA-USD,0.0874,0.0877,0.087,0.087,176042.3
1784934000,HBAR-USD,0.0709,0.07095,0.0703,0.07081,1661330
1784934000,ONDO-USD,0.38256,0.38366,0.38131,0.38347,258350.06
1784934000,PAXG-USD,4049.2,4051.34,4048.79,4051.34,1.99066
1784934000,PEPE-USD,2.71e-06,2.72e-06,2.71e-06,2.71e-06,18235796590
1784934000,SHIB-USD,4.17e-06,4.18e-06,4.17e-06,4.18e-06,3148432250
1784934000,XLM-USD,0.177255,0.177876,0.177124,0.177794,1013991.5661411
1784934000,ZEC-USD,486.36,488.91,485.94,488.09,584.78477642
