ts,product_id,open,high,low,close,volume
1789344000,BTC-USD,76799.85,77048.16,76347.27,76767.39,166.35027369
1789347600,BTC-USD,76767.4,77127.67,76599.09,77076.83,150.45283478
1789351200,BTC-USD,77074.05,77690,76973.84,77568.87,341.45326804
1789354800,BTC-USD,77569.04,77823.52,77461.68,77566.5,180.17847975
1789358400,BTC-USD,77566.5,77668.01,77491.93,77646.46,131.89583411
1789344000,ETH-USD,2475.86,2490.32,2462.87,2483.13,3704.04021559
1789347600,ETH-USD,2482.8,2494.76,2472.08,2491.94,1672.32845677
1789351200,ETH-USD,2491.95,2512.63,2489.23,2510.31,6136.28204321
1789354800,ETH-USD,2510.31,2519.07,2506,2511.76,4367.83668187
1789344000,SOL-USD,99.26,99.89,98.94,99.63,28000.01750066
1789347600,SOL-USD,99.59,100.18,99.12,100.12,27274.62954587
1789351200,SOL-USD,100.11,101.05,99.92,100.96,28780.92379602
1789354800,SOL-USD,100.95,101.29,100.74,100.94,21043.7062578
1789358400,SOL-USD,100.93,101.34,100.83,101.13,25629.46031327
1789344000,XRP-USD,1.3406,1.3496,1.3346,1.3468,2085980.700207
1789347600,XRP-USD,1.3468,1.3528,1.3376,1.3512,1944552.643833
1789351200,XRP-USD,1.3511,1.3732,1.3492,1.3698,3816699.04051
1789354800,XRP-USD,1.3698,1.3802,1.3676,1.3717,3812388.651159
1789358400,XRP-USD,1.372,1.3798,1.3707,1.3766,3032339.82589
1789344000,DOGE-USD,0.08245,0.08284,0.08189,0.08264,4555138.1
1789347600,DOGE-USD,0.0826,0.08312,0.0823,0.08309,6385664.5
1789351200,DOGE-USD,0.08309,0.0842,0.08301,0.08404,7621958.8
1789354800,DOGE-USD,0.08405,0.08427,0.08371,0.08389,4326507.4
1789358400,DOGE-USD,0.08388,0.08415,0.08379,0.08401,8445093.1
1789344000,ADA-USD,0.20344,0.205,0.20226,0.20397,1744706.67939501
1789347600,ADA-USD,0.2039,0.2054,0.20296,0.2051,1829161.94993577
1789351200,ADA-USD,0.20508,0.20854,0.20462,0.20766,2378701.22494091
1789354800,ADA-USD,0.20757,0.20864,0.20664,0.20717,1581554.58682848
1789344000,AVAX-USD,7.29,7.349,7.259,7.322,41456.90727407
1789347600,AVAX-USD,7.317,7.377,7.296,7.365,25251.7065088
1789351200,AVAX-USD,7.364,7.43,7.353,7.409,28334.2696143
1789354800,AVAX-USD,7.408,7.438,7.388,7.403,27997.48031383
1789358400,AVAX-USD,7.404,7.42,7.388,7.414,20056.16050931
1789344000,LINK-USD,11.199,11.284,11.121,11.266,76244.52
1789347600,LINK-USD,11.265,11.326,11.196,11.315,66346.87
1789351200,LINK-USD,11.313,11.386,11.294,11.364,61165.13
1789354800,LINK-USD,11.362,11.437,11.339,11.372,76551.01
1789344000,DOT-USD,0.9996,1.0125,0.9976,1.0094,123520.40659356
1789347600,DOT-USD,1.0092,1.0189,1.0049,1.0177,181779.32222806
1789351200,DOT-USD,1.0168,1.0263,1.0123,1.0228,147658.39828693
1789354800,DOT-USD,1.0226,1.0235,1.0128,1.0158,132372.28551391
1789358400,DOT-USD,1.0154,1.0215,1.0142,1.0179,82421.88623085
1789344000,LTC-USD,53.741,54.25,53.554,54.099,5024.32063918
1789347600,LTC-USD,54.106,54.346,53.802,54.306,4126.2479875
1789351200,LTC-USD,54.303,54.499,54.186,54.354,2626.9751368
1789354800,LTC-USD,54.328,54.569,54.166,54.318,4498.42648496
1789358400,LTC-USD,54.32,54.494,54.029,54.361,5337.15893682
1789344000,BCH-USD,221.03,222.41,219.55,221.99,458.42566462
1789347600,BCH-USD,221.88,223.25,220.95,223,315.16331468
1789351200,BCH-USD,222.95,224.46,222.48,224.02,479.41819929
1789354800,BCH-USD,223.99,224.76,223.2,223.94,300.32373179
1789358400,BCH-USD,223.79,224.66,223.08,224.02,533.83612045
1789344000,NEAR-USD,2.2991,2.3209,2.277,2.2993,141860.139
1789347600,NEAR-USD,2.2992,2.336,2.2874,2.3342,86625.16
1789351200,NEAR-USD,2.3341,2.3681,2.3268,2.3654,162869.177
1789354800,NEAR-USD,2.3639,2.3902,2.3616,2.3779,156253.989
1789358400,NEAR-USD,2.3782,2.4042,2.3772,2.3938,166945.828
1789344000,ATOM-USD,1.5798,1.5936,1.5702,1.5901,10301.66
1789347600,ATOM-USD,1.5909,1.6009,1.5851,1.6009,4527.33
1789351200,ATOM-USD,1.5995,1.6048,1.5949,1.5949,5594.07
1789354800,ATOM-USD,1.5947,1.5965,1.586,1.5884,5850.01
1789344000,UNI-USD,6.1261,6.2152,6.0919,6.203,37031.354028
1789347600,UNI-USD,6.203,6.2411,6.1383,6.236,46613.423471
1789351200,UNI-USD,6.2352,6.3674,6.2254,6.3372,57037.037488
1789354800,UNI-USD,6.3384,6.4632,6.3206,6.3892,127939.24696
1789358400,UNI-USD,6.3925,6.4235,6.36,6.3771,51541.065048
1789344000,APT-USD,0.588,0.5928,0.5814,0.586,47192.021
1789347600,APT-USD,0.5868,0.5931,0.584,0.5924,31632.828
1789351200,APT-USD,0.592,0.6059,0.5916,0.5996,76374.707
1789354800,APT-USD,0.5991,0.6012,0.5952,0.5961,133606.85
1789358400,APT-USD,0.5964,0.5988,0.5955,0.5958,30487.991
1789344000,ARB-USD,0.13301,0.13528,0.13286,0.13492,1850145.26
1789347600,ARB-USD,0.13473,0.13624,0.1336,0.13598,1343097.95
1789351200,ARB-USD,0.136,0.14014,0.13561,0.13954,2765589.58
1789354800,ARB-USD,0.13946,0.14048,0.1385,0.13862,1403312.73
1789358400,ARB-USD,0.13863,0.13871,0.1372,0.13748,1203032.88
1789344000,OP-USD,0.09476,0.09567,0.09372,0.09497,414580.62
1789347600,OP-USD,0.09506,0.09556,0.09414,0.09555,199439.04
1789351200,OP-USD,0.09545,0.09688,0.09537,0.09635,322624.2
1789354800,OP-USD,0.09635,0.09695,0.09583,0.09625,236653.86
1789358400,OP-USD,0.09626,0.09642,0.09576,0.09577,79497.17
1789344000,SUI-USD,0.7019,0.7068,0.6925,0.7028,851420.5
1789347600,SUI-USD,0.7035,0.7091,0.6989,0.7081,704085.7
1789351200,SUI-USD,0.7079,0.7172,0.7062,0.7143,836104.7
1789354800,SUI-USD,0.7142,0.7183,0.7136,0.7166,347997.6
1789344000,INJ-USD,5.9,5.968,5.839,5.944,20346.06
1789347600,INJ-USD,5.95,6.09,5.931,6.086,25846.33
1789351200,INJ-USD,6.085,6.156,6.08,6.131,47637.98
1789354800,INJ-USD,6.122,6.195,6.118,6.191,21566.83
1789358400,INJ-USD,6.186,6.198,6.152,6.175,13221.23
1789344000,AAVE-USD,124.41,125.22,123.93,124.98,659.194
1789347600,AAVE-USD,125.14,125.33,124.23,125.24,477.856
1789351200,AAVE-USD,125.12,126.59,125.04,126.14,550.705
1789354800,AAVE-USD,126.18,126.35,125.5,125.82,4201.845
1789358400,AAVE-USD,125.92,126.78,125.75,126.13,1086.936
1789344000,ENA-USD,0.13618,0.13742,0.13463,0.13706,814540
1789347600,ENA-USD,0.13718,0.1385,0.13611,0.13849,779869.1
1789351200,ENA-USD,0.13838,0.14142,0.13771,0.14028,758882.1
1789354800,ENA-USD,0.14038,0.14162,0.14008,0.14054,1744009.4
1789358400,ENA-USD,0.14049,0.14146,0.14002,0.14083,1104009.1
1789344000,HBAR-USD,0.07512,0.07562,0.07496,0.07546,2291212.1
1789347600,HBAR-USD,0.07546,0.07598,0.07512,0.0759,1510513.6
1789351200,HBAR-USD,0.07584,0.07634,0.07571,0.07599,2193010.5
1789354800,HBAR-USD,0.07592,0.07627,0.07592,0.07619,1099724
1789358400,HBAR-USD,0.07619,0.07643,0.07604,0.07641,1608589
1789344000,ONDO-USD,0.34299,0.3453,0.3395,0.34299,845644.71
1789347600,ONDO-USD,0.34298,0.3457,0.3413,0.34526,323088.86
1789351200,ONDO-USD,0.3452,0.3499,0.34424,0.34919,738949.81
1789354800,ONDO-USD,0.34917,0.35392,0.34887,0.35264,1552816.4
1789358400,ONDO-USD,0.35266,0.35445,0.35117,0.35204,756774.91
1789344000,PAXG-USD,4334.87,4348.01,4331.87,4338.71,15.28812
1789347600,PAXG-USD,4338.59,4356,4329.6,4352.17,10.72292
