ts,product_id,funding_rate,open_interest,mark_price,index_price,basis
1789948800,BTC-PERP-INTX,1.1e-05,1659.2113,81408.55,81380.75760045311,0.00034151
1789948800,ETH-PERP-INTX,9e-06,23576.4937,2655.905,2654.9890828125,0.00034498
1789948800,SOL-PERP-INTX,1e-05,65900.205,111.6385,111.607384453125,0.00027879
1789948800,XRP-PERP-INTX,1.5e-05,3419934.0,1.42075,1.420287816875,0.00032542
1789948800,DOGE-PERP-INTX,8e-06,15498916.0,0.08778,0.08778437776785715,-4.987e-05
1789948800,ADA-PERP-INTX,-4e-06,1892880.0,0.22905,0.2291419862083333,-0.00040144
1789948800,AVAX-PERP-INTX,1.2e-05,70126.743,11.463,11.46080658857143,0.00019138
1789948800,LINK-PERP-INTX,1e-05,79528.25,12.583,12.5759050184375,0.00056417
1789948800,DOT-PERP-INTX,-6e-06,147680.4,1.1395,1.13916561775,0.00029353
1789948800,LTC-PERP-INTX,5.5e-05,15558.06,58.98,58.90356053750001,0.00129771
1789948800,BCH-PERP-INTX,3e-06,1027.51,253.32,253.25278428125,0.00026541
1789948800,NEAR-PERP-INTX,-1.6e-05,492317.0,4.2341,4.233406410416666,0.00016384
1789948800,ATOM-PERP-INTX,-3e-05,13529.6,1.7745,1.773504887916667,0.0005611
1789948800,UNI-PERP-INTX,-1.3e-05,86241.71,8.723,8.725950367142858,-0.00033811
1789948800,APT-PERP-INTX,5.3e-05,251109.3,0.74505,0.7444860252,0.00075754
1789948800,ARB-PERP-INTX,3.4e-05,2165755.5,0.21806,0.21794064294,0.00054766
1789948800,OP-PERP-INTX,-5e-05,262249.1,0.126,0.12608470466,-0.00067181
1789948800,SUI-PERP-INTX,5e-05,1281378.8,0.9084,0.9070659859166667,0.00147069
1789948800,INJ-PERP-INTX,2.3e-05,27976.0,7.7195,7.718182409166666,0.00017071
1789948800,AAVE-PERP-INTX,1e-05,4936.59,137.935,137.9093247642857,0.00018617
1789948800,ENA-PERP-INTX,6.3e-05,4424103.0,0.2197,0.219219084875,0.00219376
